id,Province,District,GON_Division,Category,Institute_Name,Address,tel,x,y,institute_code,Ownership,TypeOfInstitutes,office,TypeOfServicesCurative,TypeOfServicesPreventive,CDate
2,Eastern,Kalmunai,Kalmunai,RDHS,RDHS kalmunai,Police road Kalmunai,672223228,7.413508,81.826635,,,RDHS,null,,,null
3,Eastern,Kalmunai,,MOH Office,MOH Office Kalmunai North,Manatchchennai Road         Kalmunai-1,672229278,7.419404,81.821191,PKL0009928,Provincial Council,12,,false,true,2018-08-09 12:03:42
4,Eastern,Kalmunai,,Base Hospital,Ashraf memorial hospital kalmunai,AMH Kalmunai,0672229496,7.403621,81.8314,LKL 0000869,Line Ministry,,,true,false,2018-11-28 01:49:11
5,Eastern,Kalmunai,,Other Health Institute,Regional medical supplies division Sainthamaruthu,Hospital road sainthamaruthu,672223233,7.39388,81.843556,R130,,,null,false,false,null
6,Eastern,Kalmunai,Periyaneelavanai -1B,PMCU,PMCU Periyaneelavanai,Main Street periyaneelavanai,672223232,7.45203,81.811429,7150,Provincial Council,11,RDHS,true,false,2018-08-02 11:11:46
7,Eastern,Kalmunai,Maruthamunai - 3,Divisional Hospital,Divisional hospital Maruthamunai,Nooraniya road maruthamunai,672229385,7.432868,81.811032,7120,Provincial Council,3,,true,false,2018-08-22 11:35:50
8,Eastern,Kalmunai,Kalmunai kudy - 10,Other Health Institute,STD clinic kalmunai,AMH Kalmunai,672223660,7.403191,81.831028,,,Other Health Institu,null,,,null
9,Eastern,Kalmunai,,Clinic,Chenaikudiruppu clinic,Kiddanky road Chenaikudiruppu,,7.417557,81.80738,PKL0009613.01.69,,Clinic,null,,,null
10,Eastern,Kalmunai,Periyaneelavanai-1B,Clinic,periyaneelavanai clinic,Main Street periyaneelavanai,,7.452052,81.810959,PKL0009613.01.35,,Clinic,null,,,null
11,Eastern,Kalmunai,Sainthamaruthu -16,Divisional Hospital,Divisional hospital sainthamaruthu,Main street Sainthamaruthu,672229260,7.387499,81.836217,7020,Provincial Council,3,,true,false,2018-08-09 03:52:31
12,Eastern,Kalmunai,Karaitivu-11,Divisional Hospital,Divisional Hospital Karaitivu,Main Street Karaitivu,672251297,7.369535,81.842931,7100,Provincial Council,7,RDHS,true,false,2018-08-01 04:20:41
13,Eastern,Kalmunai,Nintavur-3,Base Hospital,Base Hospital Nintavur,Hospital road Nintavur,672250061,7.353462,81.857057,,Provincial Council,6,,false,false,2018-08-09 04:42:18
14,Eastern,Kalmunai,Sainthamaruthu-10,Other Health Institute,RMO/AMC Kalmunai,Hospital road sainthamaruthu,672220206,7.393859,81.843602,,,Other Health Institu,null,,,null
15,Eastern,Kalmunai,,PMCU,PMCU Chenaikudyruppu,Kiddanky road Chenaikudiruppu,672056987,7.417576,81.807246,,Provincial Council,11,RDHS,true,true,2018-08-02 09:54:30
16,Eastern,Kalmunai,Sainthamaruthu 9,MOH Office,MOH Office Sainthamaruthu,"No.2, Irrigation Canal Road,  Bolivalion Vilage Sainthamaruthu -9",672224365,7.390203,81.83404,PKL0009985,Provincial Council,12,,true,false,2018-08-09 11:21:41
17,Eastern,Kalmunai,Sainthamaruthu 16,Clinic,DH Clinic Sainthamaruthu,Main road Sainthamaruthu-16,,7.387486,81.836214,PKL0009613.01.56,,Clinic,null,,,null
18,Eastern,Kalmunai,Sainthamaruthu 6,Clinic,APC Clinic Sainthamaruthu,Al Jalal Road Sainthamaruthu-6,,7.397103,81.842058,PKL0009613.01.57,,Clinic,null,,,null
19,Eastern,Kalmunai,Sainthamaruthu 9,Clinic,MOH Office clinic Sainthamaruthu,Polivalion Vilage Sainthamaruthu -9,672224365,7.403621,81.8314,PKL0009613.01.58,,Clinic,null,,,null
20,Eastern,Kalmunai,Mavadipalli East,PMCU,PMCU Mavadipalli,Main road Mavadipalli east,672054876,7.373344,81.823256,7210,Provincial Council,11,RDHS,false,true,2018-08-02 11:05:24
21,Eastern,Kalmunai,Karaitheevu 07,MOH Office,MOH Office Karaithivu,Main Street Karaitivu -7,672221981,7.389713,81.835249,PKL0009944,Provincial Council,12,,false,true,2018-08-09 12:22:16
22,Eastern,Kalmunai,Karaitheevu 07,Clinic,MOH Office Clinic Karaitivu,Main Street karaitivu-7,672221981,7.389713,81.835249,PKL0009613.01.29,,Clinic,null,,,null
23,Eastern,Kalmunai,Karaitheevu 11,Clinic,Gramodhaya Health Center-Karaitivu,Muruhan Kovil Road Karaitivu-11,,7.36842,81.843784,PKL0009613.01.30,,Clinic,null,,,null
24,Eastern,Kalmunai,Maligaikadu Central,Clinic,Gramodhaya Health Center-Malihaikadu,Maliya Road Malihaikadu Central,,7.388333,81.841676,PKL0009613.01.31,,Clinic,null,,,null
25,Eastern,Kalmunai,Mavadipalli East,Clinic,Gramodhaya Health Center-Mavadipalli,Main Street Mavadipalli East,,7.39691,81.820824,PKL0009613.01.32,,Clinic,null,,,null
26,Eastern,Kalmunai,Kalmunai 03,MOH Office,MOH Kalmunai South,KKP Road Kalmunai-3,672223266,7.405904,81.841123,PKL0009936,Provincial Council,12,,false,true,2018-08-09 01:28:16
27,Eastern,Kalmunai,Kalmunai 03,Clinic,UP Thaika Clinic (MOH Office - Kalmunai South ),KKP Road Kalmunai-3,672223266,7.405904,81.841123,PKL0009613.01.26,,Clinic,null,,,null
28,Eastern,Kalmunai,Kalmunai 03,Clinic,KKP Clinic (MOH Office - Kalmunai South),KKP Road Kalmunai-3,672223266,7.405904,81.841123,PKL0009613.01.27,,Clinic,null,,,null
29,Eastern,Kalmunai,Ninthavur 03,MOH Office,MOH office Ninthavur,"hospital road,Ninthavur- 03",672250834,7.353009,81.85706,PKL0009969,Provincial Council,12,,false,true,2018-08-09 01:19:36
30,Eastern,Kalmunai,Ninthavur 03,Clinic,MOH clinic Ninthavur,"hospital road, Ninthavur- 03",672250834,7.353009,81.85706,PKL0009613.01.50,,Clinic,null,,,null
31,Eastern,Kalmunai,Ninthavur 01,Clinic,Meera nagar gramodhaya clinic,"meera nagar road, Ninthavur-01",,7.360511,81.852678,PKL0009613.01.51,,Clinic,null,,,null
32,Eastern,Kalmunai,Ninthavur 09,Clinic,vavvalooday gramodhya clinic,"firdhaws mosque road, Ninthavur-09",,7.340667,81.860946,PKL0009613.01.52,,Clinic,null,,,null
33,Eastern,Kalmunai,Ninthavur 22,Clinic,arasadithootam gramodhaya clinic,"health center road, Ninthavur-22",,7.335092,81.852508,PKL0009613.01.53,,Clinic,null,,,null
34,Eastern,Kalmunai,Ninthavur 10,Clinic,Addapalam gramodhaya clinic,"amman kovil road, nithavur-10",,7.327981,81.855787,PKL0009613.01.54,,Clinic,null,,,null
35,Eastern,Kalmunai,Central Camp 01,Divisional Hospital,Divisional Hospital central camp,"DMO,divisional hospital,central camp",632051750,7.410654,81.741137,7110,,Divisional Hospital,null,,,null
36,Eastern,Kalmunai,Navithanveli 01,MOH Office,MOH office Navithanveli,"MOH office, navithanveli",672226091,7.420061,81.788415,PKL0009951,Provincial Council,12,,false,true,2018-08-09 03:17:23
37,Eastern,Kalmunai,Navithanveli 01,Clinic,navithanveli health centre,navithanveli,,7.439342,81.780049,PKL0009613.01.42,,Clinic,null,,,null
38,Eastern,Kalmunai,Central Camp 02,Clinic,4th colony health centre,central camp-02,,7.407301,81.738264,PKL0009613.01.43,,Clinic,null,,,null
39,Eastern,Kalmunai,Central Camp 02,Clinic,11th colony health centre,central camp-06,,7.436362,81.719337,PKL0009613.01.44,,Clinic,null,,,null
40,Eastern,Kalmunai,,Clinic,vepayadi health centre,15th colony,,7.432016,81.761092,PKL0009613.01.45,,Clinic,null,,,null
41,Eastern,Kalmunai,Sorikalmunai 3,Clinic,6th colony health centre,sorikkalmunai,,7.390827,81.793554,PKL0009613.01.46,,Clinic,null,,,null
42,Eastern,Kalmunai,Navithanveli 01,Clinic,MOH office clinic centre,"MOH office, navithanveli",672226091,7.420061,81.788415,PKL0009613.01.47,,Clinic,null,,,null
43,Eastern,Kalmunai,Sorikalmunai 1,PMCU,PMCU sorikkalmunai,"hospital road,sorikkalmunai-01",672223220,7.390916,81.793307,7240,Provincial Council,11,RDHS,true,false,2018-08-02 09:24:36
44,Eastern,Kalmunai,Annamalai 01,PMCU,PMCU annanmalai,"vepayadi,annanmalai-02",673693768,7.449159,81.754565,7190,,,,false,false,null
45,Eastern,Kalmunai,,Clinic,5th colony health centre,salambaikerny-01,,7.40563,81.780316,PKL0009613.01.48,,Clinic,null,,,null
46,Eastern,Kalmunai,,Clinic,12th colony health centre,salambaikerny-03,,7.416709,81.753946,PKL0009613.01.49,,Clinic,null,,,null
47,Eastern,Kalmunai,,MOH Office,MOH office sammanthurai,MOH office sammanthurai,672260808,7.369546,81.812467,PKL0009993,Provincial Council,12,,true,false,2018-08-09 09:58:11
48,Eastern,Kalmunai,,Clinic,MOH clinic,MOH office sammanthurai,672260808,7.369546,81.812467,PKL0009613.01.59,,Clinic,null,,,null
49,Eastern,Kalmunai,Sennelgramam 02,Clinic,Sennal kiramam health centre,"sennal kiramam, sammanthurai",,7.346953,81.780756,PKL0009613.01.60,,Clinic,null,,,null
50,Eastern,Kalmunai,Sennelgramam 02,Clinic,udanga health centre,"udanga, sennal kiramam-01",,7.356094,81.787963,PKL0009613.01.61,,Clinic,null,,,null
51,Eastern,Kalmunai,Valathapitty 01,Clinic,valathapitti health centre,"Ampara road, new valathapitti",,7.306694,81.72289,PKL0009613.01.62,,Clinic,null,,,null
52,Eastern,Kalmunai,Malwatte 03,Clinic,majith puram health centre,"majith puram, malwatha-03",,7.350512,81.743278,PKL0009613.01.63,,Clinic,null,,,null
53,Eastern,Kalmunai,Kallarichchel 02,Clinic,kallarachal health centre,"sp 12th lane,kallarachal-02",,7.353727,81.807301,PKL0009613.01.64,,Clinic,null,,,null
54,Eastern,Kalmunai,Malwatta,Clinic,malwatha health centre,"sadayanthalawa road,malwatha-02",,7.332061,81.742376,PKL0009613.01.65,,Clinic,null,,,null
55,Eastern,Kalmunai,Malkampiddy,Clinic,naina kadu health centre,"malkampitty road, naina kadu",,7.301793,81.774143,PKL0009613.01.66,,Clinic,null,,,null
56,Eastern,Kalmunai,Vilinayadi 01,Clinic,vilinaiyadi health centre,"fauws mawatha,vilinaiyadi-01",,7.362062,81.79648,PKL0009613.01.67,,Clinic,null,,,null
57,Eastern,Kalmunai,Veeramunai 01,Clinic,veeramunai health centre,"kovil road,veeramunai-02",,7.37123,81.796163,PKL0009613.01.68,,Clinic,null,,,null
58,Eastern,Kalmunai,Malwatte 02,PMCU,PMCU malwatha,"sadayanthalawa road,malwatha-02",,7.332061,81.742376,7160,Provincial Council,11,RDHS,true,false,2018-08-02 09:30:06
59,Eastern,Kalmunai,Sennelgramam 02,PMCU,PMCU sennal kiramam,PMCU sennal kiramam-02,,7.346953,81.780756,7230,Provincial Council,11,RDHS,false,true,2018-08-02 10:55:47
60,Eastern,Kalmunai,,Other Health Institute,District chest clinic,"police road, sammanthurai",672260601,7.389012,81.812265,7270,,Other Health Institu,null,,,null
61,Eastern,Kalmunai,Oluvil 02,Divisional Hospital,Divisional Hospital Oluvil,"hospital road,oluvil-02",672255251,7.290424,81.858127,7080,Provincial Council,7,RDHS,true,false,2018-08-01 03:14:14
62,Eastern,Kalmunai,Palamuna 05,Divisional Hospital,Divisional hospital palamunai,"main street,palamunai-05",672255061,7.269497,81.847983,7040,Provincial Council,,RDHS,true,false,2018-08-02 10:01:53
63,Eastern,Kalmunai,Addalachchenai 09,Divisional Hospital,Divisional Hospital- Addalaichenai,"divisional hospital, addalaichenai-09",672278435,7.253364,81.85403,7090,Provincial Council,7,RDHS,false,true,2018-08-01 04:35:45
64,Eastern,Kalmunai,Addalachchenai 09,MOH Office,MOH  addalaichenai,"MOH office, addalaichenai-09",672278613,7.260716,81.85344,PKL0009886,Provincial Council,12,,false,true,2018-08-09 12:39:27
