1,2,3,5,9,10,11,12,22,23,24,,
Institution Number,Health Institution Number,RDHS DIVISION,Name,Hospital Type,Name of the MOH Area,Special notes,1.Line 2.Provincial 3.Other (Belongs to other Ministry or Department),Address of the Institute,Telephone Number,Email address,,
1,LCB0000166,Colombo,Castle Street Hospital for Women,Specialized Teaching Hospital,Kirula  / Colombo,Specialized Hospital,1,Colombo 08,011-2695529,,,
2,LCB0000174,Colombo,"Colombo South Teaching Hospital , Kalubovila",Teaching Hospital,Dehiwala,,1,Kalubowila,011-2763261-62/ 011-2763264-65,csthkalobowila@gmail.com,,
3,LCB0000182,Colombo,De Soysa Maternity Hospital,Specialized Teaching Hospital,Colombo,Specialized Hospital,1,Colombo 08,011-2696224-26,,,
4,LCB0000190,Colombo,National Eye Hospital,Other Specialized Hospital,Colombo 10/ Colombo,Specialized Hospital,1,"Deans Rd, Colombo 10",011-2693911-15,,,
5,LCB0000216,Colombo,Lady Ridgeway Hospital,Specialized Teaching Hospital,Camble Park / Colombo,Specialized Hospital,1,Colombo 08,011-2693711-13,,,
6,LCB0000018,Colombo,"National Hospital , Sri Lanka",National Hospital,Colombo 10,,1,"Regent Street, Colombo 10",011-2691111,,,
7,LCB0000240,Colombo,Sri Jayawardenepura General Hospital ,Board Managed Hospital (Tertiary Care),Kotte,,1,"Thalapathpitiya, Nugegoda",011-2778610-12,,,
8,PCB0003996,Colombo,Avissawella,District General Hospital,Hanwella,,2,"District General Hospital, Avissawella Road, Avissawella",036-2233063,dghaplanning@gmail.com,,
9,PCB0004002,Colombo,Homagama,Base Hospital-Type A,Homagama,,2,"Homagama Base Hospital, Hospital Road, Homagama",011-2855200                 ,puhomagama@gmail.com                                         ,,
11,LCB0000125,Colombo,Mulleriyawa (Colombo East),Base Hospital-Type A,Kolonnawa,,1,Mulleriyawa,011-2578226  /  011-2578229,,,
12,PCB0004010,Colombo,Wetara,Divisional Hospital-Type A,Kahathuduwa,,2,"District Hospital,Wetara",011-2704277,dhwethara@gmail.com,,
13,PCB0004085,Colombo,Colombo Central-Maligawatta,Divisional Hospital-Type B,CMC Area,,2,"District Hospital Maligawatta, Colombo 10",011-2435448,induvidanagamage@yahoo.com  / maligawaththadh@gmail.com,,
14,PCB0004028,Colombo,Moratuwa,Divisional Hospital-Type A,Moratuwa,,2,"DH Moratuwa, Lunawa, Moratuwa",011-2645231,divhosmoratuwa@gmail.com,,
15,PCB0004036,Colombo,Nawagamuwa,Divisional Hospital-Type B,Kaduwela,                                                                                                                                                        ,2,"Divisional Hospital, Navagamuwa",011-2159527,moic.hosd.nawagamuwa@gmail.com  / nawagamuwadh@gmail.com,,
16,PCB0004044,Colombo,Padukka,Divisional Hospital-Type B,Padukka,,2,"Padukka Divisional Hospital, Colombo Rd, Padukka",011-2859095,padukkadh@gmail.com,,
17,PCB0004051,Colombo,Piliyandala,Divisional Hospital-Type B,Piliyandala,,2,"Divisional Hospital, Piliyandala",011-2614264,pylgovhospital@gmail.com,,
18,PCB0004069,Colombo,Thalangama,Divisional Hospital-Type B,Kaduwela,,2,"Divisional Hospital,Thalangama, Koswatta",011-2862313,dhtalangama@gmail.com,,
